Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Development),Custom field (Rank),Sprint,Custom field (Story point estimate),Parent,Parent summary,Status Category
Allow user to click on View Catalogue in texture finishes of exterior,AP-26,10035,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 7:00,7/11/2022 9:35,7/5/2022 7:02,7/8/2022 6:19,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture

3.Open Exterior

4.Click on Texture finishes

5.Click on View Catalogue

Acceptance Criteria:

User should be able to click on View Catalogue",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-88,AP-89,,,0|i0001z:4,AP Sprint 1,10,10053,Paints and textures tab,Done
User can login through Mobile number,AP-23,10032,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,Muskan Mourya,62c26a539763a5e6026ee146,7/5/2022 6:55,7/11/2022 9:23,7/11/2022 9:23,7/8/2022 7:02,,0,"User can login through Mobile number

Acceptance criteria:

# User should go to [https://www.asianpaints.com/my-wishlist.html|https://www.asianpaints.com/my-wishlist.html|smart-link]  link for login
# User should be allowed to login with valid mobile number
# User should navigate to Register page
#  User should be allowed to  enter valid name
# User should be allowed to enter valid email
# User should be allowed to enter OTP
# User should be allowed to create an account by submitting information using Submit",,Muskan Mourya,62c26a539763a5e6026ee146,,,,,,,,,,AP-47,AP-48,AP-140,,0|i00022:vh4,AP Sprint 1,14,10052,Home page.,Done
Allow user to click on Textured Finishes in exterior,AP-22,10031,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 6:55,7/11/2022 9:35,7/8/2022 9:55,7/11/2022 6:29,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture tab

3.Open Exterior

4.Click on Textured Finishes

Acceptance Criteria:

User should be able to click on Textured finishes

After clicking new page should be ope",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-85,AP-87,AP-131,,0|i0001z:19,AP Sprint 1,2,10053,Paints and textures tab,Done
Allow user to select any color from wall paints in Exterior,AP-21,10030,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 6:51,7/11/2022 9:36,7/11/2022 11:08,7/8/2022 5:49,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture Tab

3.Open exterior

4.Click on wall paints 

5.Click on color type

Acceptance criteria:

User should be able to select color type from All,Ace,Ultima,Apex",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-82,AP-83,,,0|i00022:hr,AP Sprint 1,10,10053,Paints and textures tab,Done
Allow user to click on Interior textures,AP-20,10029,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,7/5/2022 6:50,7/11/2022 9:34,7/11/2022 11:08,7/8/2022 6:14,,0,"# go to asian paints website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 
# After that click on Paints and textures tab
# Once clicking on paints and textures tab user will able to see interior textures heading 
# User should click on interior textures heading which will show new page with various interior texture

Acceptance criteria

After clicking on interior textures tab user will see new page with various textures .",,mayuri rokade,62c2716a2c528400c9b55af1,,,,,,,,,,AP-110,AP-112,,,0|i00020:d2,AP Sprint 1,10,10053,Paints and textures tab,Done
Allow the user to select color selection tool ,AP-19,10028,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,7/5/2022 6:50,7/11/2022 9:25,7/11/2022 11:08,7/8/2022 7:03,,0,"Allow the user to select color selection tool 

# Go to the website[https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link]
# Go to the shop tab.
# It display various categories, choose color selection tool.
# Click on the color selection tool.
# Select the color selection tool.",,Sukanya Pucheti,62c26a102c528400c9b558f1,,,,,,,,,,AP-76,AP-79,,,0|i0009l:,AP Sprint 1,14,10055,Shop,Done
Allow user to click on view product in wall textures,AP-18,10027,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 6:45,7/11/2022 9:36,7/11/2022 11:08,7/8/2022 5:43,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and texture tab

3.Open Interior

4.Click on wall textures

5.Click on view product

Acceptance criteria:

User should be able to click on View product option

After clicking new page should be displayed",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-80,AP-81,AP-145,,0|i00022:hi,AP Sprint 1,8,10053,Paints and textures tab,Done
Allow the user can search/select for different wall papers ,AP-16,10025,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,7/5/2022 6:41,7/11/2022 9:25,7/11/2022 11:08,7/8/2022 7:03,,0,"Allow the user can search/select for different wall papers 

# Go to website[https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link]
# Go to shop tab.
# Click on the shop tab it show various options.
# Click or search for category wall paper.
# It displays the different wall papers with price and available colours ",,Sukanya Pucheti,62c26a102c528400c9b558f1,,,,,,,,,,AP-70,AP-73,,,0|i0009k:,AP Sprint 1,12,10055,Shop,Done
Allow user to click on wall texture in Paints and Texture tab,AP-15,10024,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 6:38,7/11/2022 9:36,7/11/2022 11:08,7/8/2022 5:43,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture

3.Open Interior

4.Click on Wall texture

Acceptance criteria:

User should be able to click on Wall texture 

After clicking new page should be displayed",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-75,AP-77,,,0|i00022:h,AP Sprint 1,7,10053,Paints and textures tab,Done
Allow user to click on 2200 colours,AP-13,10022,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,7/5/2022 6:33,7/11/2022 10:24,7/11/2022 11:08,7/8/2022 6:14,,0,"1 Go to the website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2. Go to the paints and texture tab

3. Under Colours and textures tab click on 2200 colours 

4. After clicking 2200 colours user will able to see different shades of colours

Acceptance criteria

 User should able to click on 2200 colours and after clicking it new page should appear with different shades of colours",,mayuri rokade,62c2716a2c528400c9b55af1,,,,,,,,,,AP-106,AP-107,AP-146,,0|i00020:d4,AP Sprint 1,15,10053,Paints and textures tab,Done
Allow user to click on payment option ,AP-10,10019,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,M Monisha,62c26b6ceda95d2e3a68b7ab,M Monisha,62c26b6ceda95d2e3a68b7ab,M Monisha,62c26b6ceda95d2e3a68b7ab,7/5/2022 6:28,7/11/2022 9:24,7/11/2022 11:08,7/8/2022 11:27,,0,"Allow user to click on  payment option : 

# User should be allowed to see payment option.
# User should be able to see payment option such as Credit card ,Debit card ,Net Banking or Cash on delivery
# user should be allowed to save payment method
# Verify that session should be timed out if payment is not done for a certain time.
# On successful payment email or text message should be sent to user along with order number",,M Monisha,62c26b6ceda95d2e3a68b7ab,,,,,,,,,,AP-84,AP-86,AP-136,,0|i0009s:,AP Sprint 1,8,10055,Shop,Done
Allow user to see description after selecting color,AP-9,10018,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 6:24,7/11/2022 9:36,7/11/2022 11:08,7/8/2022 5:43,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture tab

3.Under Interior,Click on wall paints

4.Select the color type

5.Choose the color 

6.Click on color

Acceptance Criteria:

User should be able to click on color

User should be able to see description of color after clicking",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-72,AP-74,,,0|i00022:g,AP Sprint 1,5,10053,Paints and textures tab,Done
Allow user to click on add to compare in wall paints,AP-8,10017,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 6:20,7/11/2022 9:35,7/11/2022 11:08,7/8/2022 5:42,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to paints and texture

3.Under interior click on Wall paints

4.Select type of color

5.Choose color

6.Click on add to compare

Acceptance Criteria:

User should be able to choose any color

User should be able to click on add to compare",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-68,AP-69,,,0|i00022:f,AP Sprint 1,6,10053,Paints and textures tab,Done
Allow user to choose any color from wall paints,AP-6,10015,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 6:15,7/11/2022 9:34,7/5/2022 7:05,7/11/2022 6:29,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to paints and texture tab

[3|http://3.IN].Under Interior click on wall paints

4.Click on any type

Acceptance Criteria:

User should be able to click on any type of color 

After clicking colors in that category should be displayed",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-66,AP-67,AP-143,,0|i0001z:16,AP Sprint 1,3,10053,Paints and textures tab,Done
Allow user to click on add to cart  or buy now ,AP-5,10014,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,M Monisha,62c26b6ceda95d2e3a68b7ab,M Monisha,62c26b6ceda95d2e3a68b7ab,M Monisha,62c26b6ceda95d2e3a68b7ab,7/5/2022 6:14,7/11/2022 9:25,7/11/2022 11:08,7/8/2022 8:13,,0,"Allow user to click add to cart  or buy now : 

# User should be allowed to click on Add to cart
# It shows enter serviceable pin code to add product to cart 
# User is should be registered then only user selected product will be added to cart.
# selected product should be moved to cart
# user should be allowed to continue shopping after adding product to cart
# user should be allowed to add same product in quantity option
# user should be allowed to see total amount of product in cart is displayed or not
# user should be allowed to see amount displayed includes taxes and shipping charge as per location
# user should be allowed when user click on remove from cart button then the product should be removed from cart
# user should be allowed to apply coupons or vouchers at checkout from cart
# User should add address and should fill required fields
# user should be allowed to see product whenever user logs out and logs in again. ",,M Monisha,62c26b6ceda95d2e3a68b7ab,,,,,,,,,,AP-71,AP-78,,,0|i0009o:,AP Sprint 1,5,10055,Shop,Done
Allow user to search /select for different wall stickers ,AP-4,10013,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,7/5/2022 6:08,7/11/2022 9:24,7/11/2022 11:08,7/8/2022 7:03,,0,"h1. Allow user to search /select for different wall stickers

# Go to website[https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link]
# Go to Shop tab.
# It displays several options. 
# search or select the category wall stickers.
# It shows the different  wall stickers along with their prices. ",,Sukanya Pucheti,62c26a102c528400c9b558f1,,,,,,,,,,AP-56,AP-58,AP-147,,0|i0009j:i,AP Sprint 1,10,10055,Shop,Done
Allow user to shop ,AP-3,10012,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,Sukanya Pucheti,62c26a102c528400c9b558f1,7/5/2022 6:06,7/11/2022 9:23,7/11/2022 11:08,7/8/2022 7:03,,0,"Allow user to shop

# Go to the website[https://www.asianpaints.com/content/ap/en/home.html|https://www.asianpaints.com/content/ap/en/home.html|smart-link] 

  2.  Go to the shop tab.",,Sukanya Pucheti,62c26a102c528400c9b558f1,,,,,,,,,,AP-54,AP-55,,,0|i0009j:9,AP Sprint 1,8,10055,Shop,Done
User should be able to click on wall paints in interior of paints and texture tab,AP-2,10011,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,7/5/2022 6:04,7/11/2022 10:25,7/5/2022 7:05,7/8/2022 6:19,,0,"1.Go to website [https://www.asianpaints.com/|https://www.asianpaints.com/|smart-link] 

2.Go to Paints and Texture tab

3.Open interior

4.Click on wall paints

Acceptance criteria:

User should be able able to click on Wall paints option

After clicking wall paints user should be able to view a new page",,Pooja Vikas Parandwal,62c26f119763a5e6026ee27f,,,,,,,,,,AP-64,AP-65,,,0|i0001z:9,AP Sprint 1,14,10053,Paints and textures tab,Done
User should able to see colour and texture option after clicking on paints and texture tab,AP-1,10010,Story,Done,AP,Asian paints,software,Pooja singh,62c26a0da7de1e7c7c2cd1a1,,Medium,Done,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,mayuri rokade,62c2716a2c528400c9b55af1,7/5/2022 6:01,7/11/2022 9:34,7/8/2022 7:42,7/8/2022 6:14,,0,"

# First user should enter the Asian paints website

   2. After opening the website user should able to see colour and texture heading

   3. Once clicking on colour and texture tab user will able to see various sub headings

  4. In sub headings user should click on colours and texture tab 

Acceptance criteria

After clicking on colours and texture tab user will redirect to new page with various features of colours and texture.",,mayuri rokade,62c2716a2c528400c9b55af1,,,,,,,,,,AP-57,AP-59,,,0|i00020:d9,AP Sprint 1,11,10053,Paints and textures tab,Done
